Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif,lag1,lag2,lag3,lag4,lag5,lag6,avg30,avg60,delta1,label
2026-05-15 00:00:00,2026-05-15 13:35:51,2026-05-15 13:45:43,150,1,8.5,0,4,2,2,2,2,1.667,1.833,1,sedang
2026-05-15 00:00:00,2026-05-15 13:45:52,2026-05-15 13:55:43,151,4,34,1,0,4,2,2,2,1.667,2.167,3,sedang
2026-05-15 00:00:00,2026-05-15 13:55:52,2026-05-15 14:05:43,152,11,93.401,4,1,0,4,2,2,5.333,3.667,7,tinggi
2026-05-15 00:00:00,2026-05-15 14:05:51,2026-05-15 14:15:43,153,1,8.5,11,4,1,0,4,2,5.333,3.5,-10,sedang
2026-05-15 00:00:00,2026-05-15 14:15:51,2026-05-15 14:25:43,154,5,40.2,1,11,4,1,0,4,5.667,3.667,4,tinggi
2026-05-15 00:00:00,2026-05-15 14:25:53,2026-05-15 14:35:43,155,3,25.4,5,1,11,4,1,0,3,4.167,-2,sedang
2026-05-15 00:00:00,2026-05-15 14:35:55,2026-05-15 14:45:43,156,2,16.9,3,5,1,11,4,1,3.333,4.333,-1,sedang
2026-05-15 00:00:00,2026-05-15 14:45:52,2026-05-15 14:55:43,157,2,16.901,2,3,5,1,11,4,2.333,4,0,sedang
2026-05-15 00:00:00,2026-05-15 14:55:56,2026-05-15 15:05:43,158,0,0,2,2,3,5,1,11,1.333,2.167,-2,rendah
2026-05-15 00:00:00,2026-05-15 15:05:52,2026-05-15 15:15:44,159,3,25.3,0,2,2,3,5,1,1.667,2.5,3,sedang
2026-05-15 00:00:00,2026-05-15 15:15:50,2026-05-15 15:25:44,160,13,109.6,3,0,2,2,3,5,5.333,3.833,10,tinggi
2026-05-15 00:00:00,2026-05-15 15:25:53,2026-05-15 15:35:44,161,8,66.3,13,3,0,2,2,3,8,4.667,-5,tinggi
2026-05-15 00:00:00,2026-05-15 15:35:56,2026-05-15 15:45:44,162,11,93.401,8,13,3,0,2,2,10.667,6.167,3,tinggi
2026-05-15 00:00:00,2026-05-15 15:45:53,2026-05-15 15:55:44,163,31,259.201,11,8,13,3,0,2,16.667,11,20,tinggi
2026-05-15 00:00:00,2026-05-15 15:55:52,2026-05-15 16:05:44,164,24,202.503,31,11,8,13,3,0,22,15,-7,tinggi
2026-05-15 00:00:00,2026-05-15 16:05:56,2026-05-15 16:15:44,165,24,202.5,24,31,11,8,13,3,26.333,18.5,0,tinggi
2026-05-15 00:00:00,2026-05-15 16:15:50,2026-05-15 16:25:44,166,17,142.6,24,24,31,11,8,13,21.667,19.167,-7,tinggi
2026-05-15 00:00:00,2026-05-15 16:25:53,2026-05-15 16:35:44,167,27,227.3,17,24,24,31,11,8,22.667,22.333,10,tinggi
2026-05-15 00:00:00,2026-05-15 16:35:53,2026-05-15 16:45:44,168,24,202.001,27,17,24,24,31,11,22.667,24.5,-3,tinggi
2026-05-15 00:00:00,2026-05-15 16:45:53,2026-05-15 16:55:44,169,29,257.595,24,27,17,24,24,31,26.667,24.167,5,tinggi
2026-05-15 00:00:00,2026-05-15 16:55:52,2026-05-15 17:05:44,170,18,165.742,29,24,27,17,24,24,23.667,23.167,-11,tinggi
2026-05-15 00:00:00,2026-05-15 17:05:54,2026-05-15 17:15:44,171,10,84.5,18,29,24,27,17,24,19,20.833,-8,tinggi
2026-05-15 00:00:00,2026-05-15 17:16:01,2026-05-15 17:25:44,172,16,135.301,10,18,29,24,27,17,14.667,20.667,6,tinggi
2026-05-15 00:00:00,2026-05-15 17:25:53,2026-05-15 17:35:44,173,29,237.2,16,10,18,29,24,27,18.333,21,13,tinggi
2026-05-15 00:00:00,2026-05-15 17:35:52,2026-05-15 17:45:44,174,31,261.503,29,16,10,18,29,24,25.333,22.167,2,tinggi
2026-05-15 00:00:00,2026-05-15 17:45:52,2026-05-15 17:55:44,175,19,155.701,31,29,16,10,18,29,26.333,20.5,-12,tinggi
2026-05-15 00:00:00,2026-05-15 17:55:51,2026-05-15 18:05:44,176,9,76.401,19,31,29,16,10,18,19.667,19,-10,tinggi
2026-05-15 00:00:00,2026-05-15 18:05:54,2026-05-15 18:15:44,177,15,127.103,9,19,31,29,16,10,14.333,19.833,6,tinggi
2026-05-15 00:00:00,2026-05-15 18:15:56,2026-05-15 18:25:44,178,21,178.301,15,9,19,31,29,16,15,20.667,6,tinggi
2026-05-15 00:00:00,2026-05-15 18:25:52,2026-05-15 18:35:44,179,21,176.003,21,15,9,19,31,29,19,19.333,0,tinggi
2026-05-15 00:00:00,2026-05-15 18:35:53,2026-05-15 18:45:44,180,27,229.5,21,21,15,9,19,31,23,18.667,6,tinggi
